Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017
"55079018500","14000US55079018500","Census Tract 185, Milwaukee County, Wisconsin","Census Tract 185, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004875",,,,,"55","079",,,,"018500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1731,1417,1376,0,14,15,0,0,12,314,309,0,0,0,0,5,0
"55079018600","14000US55079018600","Census Tract 186, Milwaukee County, Wisconsin","Census Tract 186, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004876",,,,,"55","079",,,,"018600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,1022,612,300,24,29,0,0,57,2278,1749,64,37,0,0,365,63
"55079018700","14000US55079018700","Census Tract 187, Milwaukee County, Wisconsin","Census Tract 187, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004877",,,,,"55","079",,,,"018700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3089,800,657,143,0,0,0,0,0,2289,1584,42,0,0,0,482,181
"55079018800","14000US55079018800","Census Tract 188, Milwaukee County, Wisconsin","Census Tract 188, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004878",,,,,"55","079",,,,"018800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2318,410,280,80,24,0,0,0,26,1908,1357,164,0,0,0,302,85
"55079018900","14000US55079018900","Census Tract 189, Milwaukee County, Wisconsin","Census Tract 189, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004879",,,,,"55","079",,,,"018900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722,796,663,42,8,14,0,18,51,926,813,0,0,0,0,113,0
"55079019000","14000US55079019000","Census Tract 190, Milwaukee County, Wisconsin","Census Tract 190, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004880",,,,,"55","079",,,,"019000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4959,3891,3469,333,0,43,0,0,46,1068,978,10,0,0,0,80,0
"55079019100","14000US55079019100","Census Tract 191, Milwaukee County, Wisconsin","Census Tract 191, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004881",,,,,"55","079",,,,"019100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3652,2850,2373,240,9,124,6,5,93,802,613,10,0,0,8,89,82
"55079019200","14000US55079019200","Census Tract 192, Milwaukee County, Wisconsin","Census Tract 192, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004882",,,,,"55","079",,,,"019200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3288,2608,2271,142,14,18,0,0,163,680,413,26,8,0,0,225,8
"55079019300","14000US55079019300","Census Tract 193, Milwaukee County, Wisconsin","Census Tract 193, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004883",,,,,"55","079",,,,"019300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2745,2423,2167,86,51,51,0,0,68,322,287,0,32,0,0,0,3
"55079019400","14000US55079019400","Census Tract 194, Milwaukee County, Wisconsin","Census Tract 194, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004884",,,,,"55","079",,,,"019400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3839,3238,3049,98,0,0,0,0,91,601,491,29,0,0,0,64,17
