Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14006_001
"55079007600","14000US55079007600","Census Tract 76, Milwaukee County, Wisconsin","Census Tract 76, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004798",,,,,"55","079",,,,"007600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43411
"55079007700","14000US55079007700","Census Tract 77, Milwaukee County, Wisconsin","Census Tract 77, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004799",,,,,"55","079",,,,"007700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34928
"55079007800","14000US55079007800","Census Tract 78, Milwaukee County, Wisconsin","Census Tract 78, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004800",,,,,"55","079",,,,"007800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22813
"55079007900","14000US55079007900","Census Tract 79, Milwaukee County, Wisconsin","Census Tract 79, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004801",,,,,"55","079",,,,"007900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35461
"55079008000","14000US55079008000","Census Tract 80, Milwaukee County, Wisconsin","Census Tract 80, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004802",,,,,"55","079",,,,"008000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37027
"55079008100","14000US55079008100","Census Tract 81, Milwaukee County, Wisconsin","Census Tract 81, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004803",,,,,"55","079",,,,"008100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15250
"55079008400","14000US55079008400","Census Tract 84, Milwaukee County, Wisconsin","Census Tract 84, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004804",,,,,"55","079",,,,"008400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24036
"55079008500","14000US55079008500","Census Tract 85, Milwaukee County, Wisconsin","Census Tract 85, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004805",,,,,"55","079",,,,"008500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31101
"55079008600","14000US55079008600","Census Tract 86, Milwaukee County, Wisconsin","Census Tract 86, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004806",,,,,"55","079",,,,"008600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000
"55079008700","14000US55079008700","Census Tract 87, Milwaukee County, Wisconsin","Census Tract 87, Milwaukee County, Wisconsin","wi","140","00","ACSSF","0004807",,,,,"55","079",,,,"008700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23583
